,Mfr_Part_No,Mouser_Part_No,Manufacturer,Description
0,M95M04-DRMN6TP,511-M95M04-DRMN6TP,STMicroelectronics,EEPROM MEMORY
1,M95M04-DRDW6TP,511-M95M04-DRDW6TP,STMicroelectronics,EEPROM MEMORY
2,AT24C01C-XPD-T,579-AT24C01C-XPD-T,Microchip Technology,"EEPROM 400kHz, Auto Temp, 8-TSSOP"
3,M24128-BFMN6TP,511-M24128-BFMN6TP,STMicroelectronics,EEPROM MEMORY
4,NV24C04MUW3VLTBG,863-NV24C04MUW3VLTBG,ON Semiconductor,"EEPROM 4KB I2C SER EEPROM UDFN WETTABLE FLANKS (WITH HVET, FOR LOW VCC RANGE)"
5,CAT93C46BYI-GT3,863-CAT93C46BYI-GT3,ON Semiconductor,EEPROM 1 Kb Microwire Serial EEPROM Memory
6,AT34C02D-MAHM-E,579-AT34C02D-MAHM-E,Microchip Technology / Atmel,"EEPROM 1.7-5.5V, 1MHz, Ind Tmp, 8-UDFN"
7,NV25040DWHFT3G,863-NV25040DWHFT3G,ON Semiconductor,EEPROM 4KB SPI SER CMOS EE PROM S
8,NV25160DWHFT3G,863-NV25160DWHFT3G,ON Semiconductor,EEPROM 16KB SPI SER CMOS E EPROM
9,DS28EC20Q+T,700-DS28EC20Q+T,Maxim Integrated,EEPROM 1-W 20K EEPROM TDFN T&R
10,24CW1280T-I/OT,579-24CW1280T-I/OT,Microchip Technology,"EEPROM 128 Kbit I2C Serial EEPROM with Software Write Protection, Industrial Temp"
11,AT24CM02-SSHD-B,579-AT24CM02-SSHD-B,Microchip Technology / Atmel,"EEPROM 2.5-5.5V, 1MHz, Ind Tmp, 8-SOIC-N"
12,AT24CM02-SSHM-B,579-AT24CM02-SSHM-B,Microchip Technology / Atmel,"EEPROM 1.7-5.5V, 1MHz, Ind Tmp, 8-SOIC-N"
13,AT24CM02-SSHM-T,579-AT24CM02-SSHM-T,Microchip Technology / Atmel,"EEPROM 1.7-5.5V, 1MHz, Ind Tmp, 8-SOIC-N"
14,AT24CM02-SSHD-T,579-AT24CM02-SSHD-T,Microchip Technology / Atmel,"EEPROM 2.5-5.5V, 1MHz, Ind Tmp, 8-SOIC-N"
15,AT24C256C-MAHL-E,579-AT24C256C-MAHL-E,Microchip Technology / Atmel,"EEPROM 1.7-5.5V, 1MHz, Ind Tmp, 8-UDFN"
16,AT24C02D-MAHM-E,579-AT24C02D-MAHM-E,Microchip Technology / Atmel,"EEPROM 1.7-3.6V, 1MHz, Ind Tmp, 8-UDFN"
17,AT24C512C-MAHM-E,579-AT24C512C-MAHM-E,Microchip Technology / Atmel,"EEPROM 1.7-5.5V, 1MHz, Ind Tmp, 8-UDFN"
18,AT24C512C-SHM-T,579-AT24C512C-SHM-T,Microchip Technology / Atmel,"EEPROM 2-WIRE -8 EIAJ,PB/HALO FREE,NiPdAu,1.7V"
19,AT24C04D-MAHM-E,579-AT24C04D-MAHM-E,Microchip Technology / Atmel,"EEPROM 1.7-3.6V, 1MHz, Ind Tmp, 8-UDFN"
20,AT93C46DY6-YH-E,579-AT93C46DY6-YH-E,Microchip Technology / Atmel,"EEPROM 1.8-5.5V, 2MHz, Ind Tmp, 8-UDFN"
21,24CW1280T-I/CS0668,579-CW1280T-I/CS0668,Microchip Technology,"EEPROM 128 Kbit I2C Serial EEPROM with Software Write Protection, Industrial Temp"
22,NV25640DWHFT3G,863-NV25640DWHFT3G,ON Semiconductor,EEPROM 64KB SPI SER CMOS E EPROM
23,24CW1280T-I/MUY,579-24CW1280T-I/MUY,Microchip Technology,"EEPROM 128 Kbit I2C Serial EEPROM with Software Write Protection, Industrial Temp"
